tier,name,hability_1,hability_2,hidden_hability,HP,Atk,Def,SpA,SpD,Spe,BST
NFE,Grovyle,Overgrow,Unburden,,50,65,45,85,65,95,405
PUBL,Sceptile,Overgrow,Unburden,,70,85,65,105,85,120,530
Illegal,Sceptile-Mega,Lightning Rod,,,70,110,75,145,85,145,630
LC,Torchic,Blaze,Speed Boost,,45,60,40,70,50,45,310
NFE,Combusken,Blaze,Speed Boost,,60,85,60,85,60,55,405
UUBL,Blaziken,Blaze,Speed Boost,,80,120,70,110,70,80,530
Illegal,Blaziken-Mega,Speed Boost,,,80,160,80,130,80,100,630
LC,Mudkip,Torrent,Damp,,50,70,50,50,50,40,310
NFE,Marshtomp,Torrent,Damp,,70,85,70,60,70,50,405
UU,Swampert,Torrent,Damp,,100,110,90,85,90,60,535
Illegal,Swampert-Mega,Swift Swim,,,100,150,110,95,110,70,635
Illegal,Poochyena,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,220
Illegal,Mightyena,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,420
NFE,Zigzagoon,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,240
LC,Zigzagoon-Galar,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,240
NUBL,Linoone,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,420
NFE,Linoone-Galar,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,420
Illegal,Wurmple,Shield Dust,Run Away,,45,45,35,20,30,20,195
Illegal,Silcoon,Shed Skin,,,50,35,55,25,25,15,205
Illegal,Beautifly,Swarm,Rivalry,,60,70,50,100,50,65,395
Illegal,Cascoon,Shed Skin,,,50,35,55,25,25,15,205
Illegal,Dustox,Shield Dust,Compound Eyes,,60,50,70,50,90,65,385
LC,Lotad,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,220
NFE,Lombre,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,340
(PU),Ludicolo,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,480
LC,Seedot,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,220
NFE,Nuzleaf,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,340
(PU),Shiftry,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,480
Illegal,Taillow,Guts,Scrappy,,40,55,30,30,30,85,270
Illegal,Swellow,Guts,Scrappy,,60,85,60,75,50,125,455
LC,Wingull,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,270
OU,Pelipper,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,440
LC,Ralts,Synchronize,Trace,Telepathy,28,25,25,45,35,40,198
NFE,Kirlia,Synchronize,Trace,Telepathy,38,35,35,65,55,50,278
RU,Gardevoir,Synchronize,Trace,Telepathy,68,65,65,125,115,80,518
Illegal,Gardevoir-Mega,Pixilate,,,68,85,65,165,135,100,618
Illegal,Surskit,Swift Swim,Rain Dish,,40,30,32,50,52,65,269
Illegal,Masquerain,Intimidate,Unnerve,,70,60,62,100,82,80,454
Illegal,Shroomish,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,295
Illegal,Breloom,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,460
Illegal,Slakoth,Truant,,,60,60,60,35,35,30,280
Illegal,Vigoroth,Vital Spirit,,,80,80,80,55,55,90,440
Illegal,Slaking,Truant,,,150,160,100,95,65,100,670
LC,Nincada,Compound Eyes,Run Away,,31,45,90,30,30,40,266
PU,Ninjask,Speed Boost,Infiltrator,,61,90,45,50,50,160,456
(PU),Shedinja,Wonder Guard,,,1,90,45,30,30,40,236
LC,Whismur,Soundproof,Rattled,,64,51,23,51,23,28,240
NFE,Loudred,Soundproof,Scrappy,,84,71,43,71,43,48,360
NU,Exploud,Soundproof,Scrappy,,104,91,63,91,73,68,490
Illegal,Makuhita,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,237
Illegal,Hariyama,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,474
LC,Azurill,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,190
Illegal,Nosepass,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,375
Illegal,Skitty,Cute Charm,Normalize,Wonder Skin,50,45,45,35,35,50,260
Illegal,Delcatty,Cute Charm,Normalize,Wonder Skin,70,65,65,55,55,90,400
(PU),Sableye,Keen Eye,Stall,Prankster,50,75,75,65,65,50,380
Illegal,Sableye-Mega,Magic Bounce,,,50,85,125,85,115,20,480
(PU),Mawile,Hyper Cutter,Intimidate,Sheer Force,50,85,85,55,55,50,380
Illegal,Mawile-Mega,Huge Power,,,50,105,125,55,95,50,480
LC,Aron,Sturdy,Rock Head,Heavy Metal,50,70,100,40,40,30,330
NFE,Lairon,Sturdy,Rock Head,Heavy Metal,60,90,140,50,50,40,430
PU,Aggron,Sturdy,Rock Head,Heavy Metal,70,110,180,60,60,50,530
Illegal,Aggron-Mega,Filter,,,70,140,230,60,80,50,630
Illegal,Meditite,Pure Power,Telepathy,,30,40,55,40,55,60,280
Illegal,Medicham,Pure Power,Telepathy,,60,60,75,60,75,80,410
Illegal,Medicham-Mega,Pure Power,,,60,100,85,80,85,100,510
LC,Electrike,Static,Lightning Rod,Minus,40,45,40,65,40,65,295
(PU),Manectric,Static,Lightning Rod,Minus,70,75,60,105,60,105,475
Illegal,Manectric-Mega,Intimidate,,,70,75,80,135,80,135,575
Illegal,Plusle,Plus,Lightning Rod,,60,50,40,85,75,95,405
Illegal,Minun,Minus,Volt Absorb,,60,40,50,75,85,95,405
Illegal,Volbeat,Illuminate,Swarm,Prankster,65,73,75,47,85,85,430
Illegal,Illumise,Oblivious,Tinted Lens,Prankster,65,47,75,73,85,85,430
NFE,Roselia,Natural Cure,Poison Point,Leaf Guard,50,60,45,100,80,65,400
Illegal,Gulpin,Liquid Ooze,Sticky Hold,Gluttony,70,43,53,43,53,40,302
Illegal,Swalot,Liquid Ooze,Sticky Hold,Gluttony,100,73,83,73,83,55,467
LC,Carvanha,Rough Skin,Speed Boost,,45,90,20,65,20,65,305
RU,Sharpedo,Rough Skin,Speed Boost,,70,120,40,95,40,95,460
Illegal,Sharpedo-Mega,Strong Jaw,,,70,140,70,110,65,105,560
LC,Wailmer,Water Veil,Oblivious,Pressure,130,70,35,70,35,60,400
(PU),Wailord,Water Veil,Oblivious,Pressure,170,90,45,90,45,60,500
Illegal,Numel,Oblivious,Simple,Own Tempo,60,60,40,65,45,35,305
Illegal,Camerupt,Magma Armor,Solid Rock,Anger Point,70,100,70,105,75,40,460
Illegal,Camerupt-Mega,Sheer Force,,,70,120,100,145,105,20,560
UU,Torkoal,White Smoke,Drought,Shell Armor,70,85,140,85,70,20,470
Illegal,Spoink,Thick Fat,Own Tempo,Gluttony,60,25,35,70,80,60,330
Illegal,Grumpig,Thick Fat,Own Tempo,Gluttony,80,45,65,90,110,80,470
Illegal,Spinda,Own Tempo,Tangled Feet,Contrary,60,60,60,60,60,60,360
LC,Trapinch,Hyper Cutter,Arena Trap,Sheer Force,45,100,45,45,45,10,290
NFE,Vibrava,Levitate,,,50,70,50,50,50,70,340
RU,Flygon,Levitate,,,80,100,80,80,80,100,520
Illegal,Cacnea,Sand Veil,Water Absorb,,50,85,40,85,40,35,335
Illegal,Cacturne,Sand Veil,Water Absorb,,70,115,60,115,60,55,475
LC,Swablu,Natural Cure,Cloud Nine,,45,40,60,40,75,50,310
(PU),Altaria,Natural Cure,Cloud Nine,,75,70,90,70,105,80,490
Illegal,Altaria-Mega,Pixilate,,,75,110,110,110,105,80,590
Illegal,Zangoose,Immunity,Toxic Boost,,73,115,60,60,60,90,458
Illegal,Seviper,Shed Skin,Infiltrator,,73,100,60,100,60,65,458
(PU),Lunatone,Levitate,,,90,55,65,95,85,70,460
(PU),Solrock,Levitate,,,90,95,85,55,65,70,460
LC,Barboach,Oblivious,Anticipation,Hydration,50,48,43,46,41,60,288
(PU),Whiscash,Oblivious,Anticipation,Hydration,110,78,73,76,71,60,468
LC,Corphish,Hyper Cutter,Shell Armor,Adaptability,43,80,65,50,35,35,308
UU,Crawdaunt,Hyper Cutter,Shell Armor,Adaptability,63,120,85,90,55,55,468
LC,Baltoy,Levitate,,,40,40,55,40,70,55,300
PU,Claydol,Levitate,,,60,70,105,70,120,75,500
LC,Lileep,Suction Cups,Storm Drain,,66,41,77,61,87,23,355
(PU),Cradily,Suction Cups,Storm Drain,,86,81,97,81,107,43,495
LC,Anorith,Battle Armor,Swift Swim,,45,95,50,40,50,75,355
(PU),Armaldo,Battle Armor,Swift Swim,,75,125,100,70,80,45,495
LC,Feebas,Swift Swim,Oblivious,Adaptability,20,15,20,10,55,80,200
RU,Milotic,Marvel Scale,Competitive,Cute Charm,95,60,79,100,125,81,540
Illegal,Castform,Forecast,,,70,70,70,70,70,70,420
Illegal,Castform-Sunny,Forecast,,,70,70,70,70,70,70,420
Illegal,Castform-Rainy,Forecast,,,70,70,70,70,70,70,420
Illegal,Castform-Snowy,Forecast,,,70,70,70,70,70,70,420
Illegal,Kecleon,Color Change,Protean,,60,90,70,60,120,40,440
Illegal,Shuppet,Insomnia,Frisk,Cursed Body,44,75,35,63,33,45,295
Illegal,Banette,Insomnia,Frisk,Cursed Body,64,115,65,83,63,65,455
Illegal,Banette-Mega,Prankster,,,64,165,75,93,83,75,555
LC,Duskull,Levitate,Frisk,,20,40,90,30,90,25,295
NFE,Dusclops,Pressure,Frisk,,40,70,130,60,130,25,455
Illegal,Tropius,Chlorophyll,Solar Power,Harvest,99,68,83,72,87,51,460
Illegal,Chimecho,Levitate,,,75,50,80,95,90,65,455
PU,Absol,Pressure,Super Luck,Justified,65,130,60,75,60,75,465
Illegal,Absol-Mega,Magic Bounce,,,65,150,60,115,60,115,565
LC,Wynaut,Shadow Tag,Telepathy,,95,23,48,23,48,23,260
LC,Snorunt,Inner Focus,Ice Body,Moody,50,50,50,50,50,50,300
(PU),Glalie,Inner Focus,Ice Body,Moody,80,80,80,80,80,80,480
Illegal,Glalie-Mega,Refrigerate,,,80,120,80,120,80,100,580
LC,Spheal,Thick Fat,Ice Body,Oblivious,70,40,50,55,50,25,290
NFE,Sealeo,Thick Fat,Ice Body,Oblivious,90,60,70,75,70,45,410
(PU),Walrein,Thick Fat,Ice Body,Oblivious,110,80,90,95,90,65,530
Illegal,Clamperl,Shell Armor,Rattled,,35,64,85,74,55,32,345
Illegal,Huntail,Swift Swim,Water Veil,,55,104,105,94,75,52,485
Illegal,Gorebyss,Swift Swim,Hydration,,55,84,105,114,75,52,485
(PU),Relicanth,Swift Swim,Rock Head,Sturdy,100,90,130,45,65,55,485
Illegal,Luvdisc,Swift Swim,Hydration,,43,30,55,40,65,97,330
LC,Bagon,Rock Head,Sheer Force,,45,75,60,40,30,50,300
NFE,Shelgon,Rock Head,Overcoat,,65,95,100,60,50,50,420
UU,Salamence,Intimidate,Moxie,,95,135,80,110,80,100,600
Illegal,Salamence-Mega,Aerilate,,,95,145,130,120,90,120,700
LC,Beldum,Clear Body,Light Metal,,40,55,80,35,60,30,300
NFE,Metang,Clear Body,Light Metal,,60,75,100,55,80,50,420
RU,Metagross,Clear Body,Light Metal,,80,135,130,95,90,70,600
Illegal,Metagross-Mega,Tough Claws,,,80,145,150,105,110,110,700
PU,Regirock,Clear Body,Sturdy,,80,100,200,50,100,50,580
(PU),Regice,Clear Body,Ice Body,,80,50,100,100,200,50,580
RU,Registeel,Clear Body,Light Metal,,80,75,150,75,150,50,580
UUBL,Latias,Levitate,,,80,80,90,110,130,110,600
Illegal,Latias-Mega,Levitate,,,80,100,120,140,150,110,700
UUBL,Latios,Levitate,,,80,90,80,130,110,110,600
Illegal,Latios-Mega,Levitate,,,80,130,100,160,120,110,700
Uber,Kyogre,Drizzle,,,100,100,90,150,140,90,670
Illegal,Kyogre-Primal,Primordial Sea,,,100,150,90,180,160,90,770
Uber,Groudon,Drought,,,100,150,140,100,90,90,670
Illegal,Groudon-Primal,Desolate Land,,,100,180,160,150,90,90,770
Uber,Rayquaza,Air Lock,,,105,150,90,150,90,95,680
Illegal,Rayquaza-Mega,Delta Stream,,,105,180,100,180,100,115,780
UU,Jirachi,Serene Grace,,,100,100,100,100,100,100,600
Illegal,Deoxys,Pressure,,,50,150,50,150,50,150,600
Illegal,Deoxys-Attack,Pressure,,,50,180,20,180,20,150,600
Illegal,Deoxys-Defense,Pressure,,,50,70,160,70,160,90,600
Illegal,Deoxys-Speed,Pressure,,,50,95,90,95,90,180,600
Illegal,Turtwig,Overgrow,Shell Armor,,55,68,64,45,55,31,318
Illegal,Grotle,Overgrow,Shell Armor,,75,89,85,55,65,36,405
Illegal,Torterra,Overgrow,Shell Armor,,95,109,105,75,85,56,525
Illegal,Chimchar,Blaze,Iron Fist,,44,58,44,58,44,61,309
Illegal,Monferno,Blaze,Iron Fist,,64,78,52,78,52,81,405
Illegal,Infernape,Blaze,Iron Fist,,76,104,71,104,71,108,534
Illegal,Piplup,Torrent,Defiant,,53,51,53,61,56,40,314
Illegal,Prinplup,Torrent,Defiant,,64,66,68,81,76,50,405
Illegal,Empoleon,Torrent,Defiant,,84,86,88,111,101,60,530
Illegal,Starly,Keen Eye,Reckless,,40,55,30,30,30,60,245
Illegal,Staravia,Intimidate,Reckless,,55,75,50,40,40,80,340
Illegal,Staraptor,Intimidate,Reckless,,85,120,70,50,60,100,485
Illegal,Bidoof,Simple,Unaware,Moody,59,45,40,35,40,31,250
Illegal,Bibarel,Simple,Unaware,Moody,79,85,60,55,60,71,410
Illegal,Kricketot,Shed Skin,Run Away,,37,25,41,25,41,25,194
Illegal,Kricketune,Swarm,Technician,,77,85,51,55,51,65,384
LC,Shinx,Rivalry,Intimidate,Guts,45,65,34,40,34,45,263
NFE,Luxio,Rivalry,Intimidate,Guts,60,85,49,60,49,60,363
(PU),Luxray,Rivalry,Intimidate,Guts,80,120,79,95,79,70,523
LC,Budew,Natural Cure,Poison Point,Leaf Guard,40,30,35,50,70,55,280
RU,Roserade,Natural Cure,Poison Point,Technician,60,70,65,125,105,90,515
Illegal,Cranidos,Mold Breaker,Sheer Force,,67,125,40,30,30,58,350
Illegal,Rampardos,Mold Breaker,Sheer Force,,97,165,60,65,50,58,495
Illegal,Shieldon,Sturdy,Soundproof,,30,42,118,42,88,30,350
Illegal,Bastiodon,Sturdy,Soundproof,,60,52,168,47,138,30,495
Illegal,Burmy,Shed Skin,Overcoat,,40,29,45,29,45,36,224
Illegal,Wormadam,Anticipation,Overcoat,,60,59,85,79,105,36,424
Illegal,Wormadam-Sandy,Anticipation,Overcoat,,60,79,105,59,85,36,424
Illegal,Wormadam-Trash,Anticipation,Overcoat,,60,69,95,69,95,36,424
Illegal,Mothim,Swarm,Tinted Lens,,70,94,50,94,50,66,424
LC,Combee,Honey Gather,Hustle,,30,30,42,30,42,70,244
(PU),Vespiquen,Pressure,Unnerve,,70,80,102,80,102,40,474
Illegal,Pachirisu,Run Away,Pickup,Volt Absorb,60,45,70,45,90,95,405
Illegal,Buizel,Swift Swim,Water Veil,,55,65,35,60,30,85,330
Illegal,Floatzel,Swift Swim,Water Veil,,85,105,55,85,50,115,495
NFE,Cherubi,Chlorophyll,,,45,35,45,62,53,35,275
(PU),Cherrim,Flower Gift,,,70,60,70,87,78,85,450
(PU),Cherrim-Sunshine,Flower Gift,,,70,60,70,87,78,85,450
LC,Shellos,Sticky Hold,Storm Drain,Sand Force,76,48,48,57,62,34,325
RU,Gastrodon,Sticky Hold,Storm Drain,Sand Force,111,83,68,92,82,39,475
Illegal,Ambipom,Technician,Pickup,Skill Link,75,100,66,60,66,115,482
NFE,Drifloon,Aftermath,Unburden,Flare Boost,90,50,34,60,44,70,348
(PU),Drifblim,Aftermath,Unburden,Flare Boost,150,80,44,90,54,80,498
LC,Buneary,Run Away,Klutz,Limber,55,66,44,44,56,85,350
(PU),Lopunny,Cute Charm,Klutz,Limber,65,76,84,54,96,105,480
Illegal,Lopunny-Mega,Scrappy,,,65,136,94,54,96,135,580
Illegal,Mismagius,Levitate,,,60,60,60,105,105,105,495
Illegal,Honchkrow,Insomnia,Super Luck,Moxie,100,125,52,105,52,71,505
Illegal,Glameow,Limber,Own Tempo,Keen Eye,49,55,42,42,37,85,310
Illegal,Purugly,Thick Fat,Own Tempo,Defiant,71,82,64,64,59,112,452
Illegal,Chingling,Levitate,,,45,30,50,65,50,45,285
LC,Stunky,Stench,Aftermath,Keen Eye,63,63,47,41,41,74,329
(PU),Skuntank,Stench,Aftermath,Keen Eye,103,93,67,71,61,84,479
LC,Bronzor,Levitate,Heatproof,Heavy Metal,57,24,86,24,86,23,300
RU,Bronzong,Levitate,Heatproof,Heavy Metal,67,89,116,79,116,33,500
LC,Bonsly,Sturdy,Rock Head,Rattled,50,80,95,10,45,10,290
LC,Mime Jr.,Soundproof,Filter,Technician,20,25,45,70,90,60,310
LC,Happiny,Natural Cure,Serene Grace,Friend Guard,100,5,5,15,65,30,220
Illegal,Chatot,Keen Eye,Tangled Feet,Big Pecks,76,65,45,92,42,91,411
(PU),Spiritomb,Pressure,Infiltrator,,50,92,108,92,108,35,485
LC,Gible,Sand Veil,Rough Skin,,58,70,45,40,45,42,300
NFE,Gabite,Sand Veil,Rough Skin,,68,90,65,50,55,82,410
OU,Garchomp,Sand Veil,Rough Skin,,108,130,95,80,85,102,600
Illegal,Garchomp-Mega,Sand Force,,,108,170,115,120,95,92,700
LC,Munchlax,Pickup,Thick Fat,Gluttony,135,85,40,40,85,5,390
LC,Riolu,Steadfast,Inner Focus,Prankster,40,70,40,35,40,60,285
RU,Lucario,Steadfast,Inner Focus,Justified,70,110,70,115,70,90,525
Illegal,Lucario-Mega,Adaptability,,,70,145,88,140,70,112,625
LC,Hippopotas,Sand Stream,Sand Force,,68,72,78,38,42,32,330
UU,Hippowdon,Sand Stream,Sand Force,,108,112,118,68,72,47,525
LC,Skorupi,Battle Armor,Sniper,Keen Eye,40,50,90,30,55,65,330
NU,Drapion,Battle Armor,Sniper,Keen Eye,70,90,110,60,75,95,500
LC,Croagunk,Anticipation,Dry Skin,Poison Touch,48,61,40,61,40,50,300
NU,Toxicroak,Anticipation,Dry Skin,Poison Touch,83,106,65,86,65,85,490
Illegal,Carnivine,Levitate,,,74,100,72,90,72,46,454
Illegal,Finneon,Swift Swim,Storm Drain,Water Veil,49,49,56,49,61,66,330
Illegal,Lumineon,Swift Swim,Storm Drain,Water Veil,69,69,76,69,86,91,460
LC,Mantyke,Swift Swim,Water Absorb,Water Veil,45,20,50,60,120,50,345
LC,Snover,Snow Warning,Soundproof,,60,62,50,62,60,40,334
(PU),Abomasnow,Snow Warning,Soundproof,,90,92,75,92,85,60,494
Illegal,Abomasnow-Mega,Snow Warning,,,90,132,105,132,105,30,594
OU,Weavile,Pressure,Pickpocket,,70,120,65,45,85,125,510
OU,Magnezone,Magnet Pull,Sturdy,Analytic,70,70,115,130,90,60,535
(PU),Lickilicky,Own Tempo,Oblivious,Cloud Nine,110,85,95,80,95,50,515
RU,Rhyperior,Lightning Rod,Solid Rock,Reckless,115,140,130,55,55,40,535
UU,Tangrowth,Chlorophyll,Leaf Guard,Regenerator,100,100,125,110,50,50,535
(PU),Electivire,Motor Drive,Vital Spirit,,75,123,67,95,85,95,540
(PU),Magmortar,Flame Body,Vital Spirit,,75,95,67,125,95,83,540
RU,Togekiss,Hustle,Serene Grace,Super Luck,85,50,95,120,115,80,545
Illegal,Yanmega,Speed Boost,Tinted Lens,Frisk,86,76,86,116,56,95,515
(PU),Leafeon,Leaf Guard,Chlorophyll,,65,110,130,60,65,95,525
(PU),Glaceon,Snow Cloak,Ice Body,,65,60,110,130,95,65,525
Illegal,Gliscor,Hyper Cutter,Sand Veil,Poison Heal,75,95,125,45,75,95,510
UU,Mamoswine,Oblivious,Snow Cloak,Thick Fat,110,130,80,70,60,80,530
NUBL,Porygon-Z,Adaptability,Download,Analytic,85,80,70,135,75,90,535
PU,Gallade,Steadfast,Justified,,68,125,65,65,115,80,518
Illegal,Gallade-Mega,Inner Focus,,,68,165,95,65,115,110,618
Illegal,Probopass,Sturdy,Magnet Pull,Sand Force,60,55,145,75,150,40,525
(PU),Dusknoir,Pressure,Frisk,,45,100,135,65,135,45,525
(PU),Froslass,Snow Cloak,Cursed Body,,70,80,70,80,70,110,480
(PU),Rotom,Levitate,,,50,50,77,95,77,91,440
UU,Rotom-Heat,Levitate,,,50,65,107,105,107,86,520
UU,Rotom-Wash,Levitate,,,50,65,107,105,107,86,520
(PU),Rotom-Frost,Levitate,,,50,65,107,105,107,86,520
(PU),Rotom-Fan,Levitate,,,50,65,107,105,107,86,520
NU,Rotom-Mow,Levitate,,,50,65,107,105,107,86,520
(PU),Uxie,Levitate,,,75,75,130,75,130,95,580
PU,Mesprit,Levitate,,,80,105,105,105,105,80,580
UU,Azelf,Levitate,,,75,125,70,125,70,115,580
Uber,Dialga,Pressure,Telepathy,,100,120,120,150,100,90,680
Illegal,Dialga-Origin,Pressure,Telepathy,,100,100,120,150,120,90,680
Uber,Palkia,Pressure,Telepathy,,90,120,100,150,120,100,680
Illegal,Palkia-Origin,Pressure,Telepathy,,90,100,100,150,120,120,680
OU,Heatran,Flash Fire,Flame Body,,91,90,106,130,106,77,600
(PU),Regigigas,Slow Start,,,110,160,110,80,110,100,670
Uber,Giratina,Pressure,Telepathy,,150,100,120,100,120,90,680
Uber,Giratina-Origin,Levitate,,,150,120,100,120,100,90,680
NUBL,Cresselia,Levitate,,,120,70,120,75,130,85,600
Illegal,Phione,Hydration,,,80,80,80,80,80,80,480
Illegal,Manaphy,Hydration,,,100,100,100,100,100,100,600
Illegal,Darkrai,Bad Dreams,,,70,90,90,135,90,125,600
Illegal,Shaymin,Natural Cure,,,100,100,100,100,100,100,600
Illegal,Shaymin-Sky,Serene Grace,,,100,103,75,120,75,127,600
Illegal,Arceus,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Bug,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Dark,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Dragon,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Electric,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Fairy,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Fighting,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Fire,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Flying,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Ghost,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Grass,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Ground,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Ice,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Poison,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Psychic,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Rock,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Steel,Multitype,,,120,120,120,120,120,120,720
Illegal,Arceus-Water,Multitype,,,120,120,120,120,120,120,720
OU,Victini,Victory Star,,,100,100,100,100,100,100,600
Illegal,Snivy,Overgrow,Contrary,,45,45,55,45,55,63,308
Illegal,Servine,Overgrow,Contrary,,60,60,75,60,75,83,413
Illegal,Serperior,Overgrow,Contrary,,75,75,95,75,95,113,528
Illegal,Tepig,Blaze,Thick Fat,,65,63,45,45,45,45,308
Illegal,Pignite,Blaze,Thick Fat,,90,93,55,70,55,55,418
Illegal,Emboar,Blaze,Reckless,,110,123,65,100,65,65,528
Illegal,Oshawott,Torrent,Shell Armor,,55,55,45,63,45,45,308
Illegal,Dewott,Torrent,Shell Armor,,75,75,60,83,60,60,413
Illegal,Samurott,Torrent,Shell Armor,,95,100,85,108,70,70,528
Illegal,Samurott-Hisui,Torrent,Shell Armor,,90,108,80,100,65,85,528
Illegal,Patrat,Run Away,Keen Eye,Analytic,45,55,39,35,39,42,255
Illegal,Watchog,Illuminate,Keen Eye,Analytic,60,85,69,60,69,77,420
LC,Lillipup,Vital Spirit,Pickup,Run Away,45,60,45,25,45,55,275
NFE,Herdier,Intimidate,Sand Rush,Scrappy,65,80,65,35,65,60,370
(PU),Stoutland,Intimidate,Sand Rush,Scrappy,85,110,90,45,90,80,500
LC,Purrloin,Limber,Unburden,Prankster,41,50,37,50,37,66,281
(PU),Liepard,Limber,Unburden,Prankster,64,88,50,88,50,106,446
Illegal,Pansage,Gluttony,Overgrow,,50,53,48,53,48,64,316
Illegal,Simisage,Gluttony,Overgrow,,75,98,63,98,63,101,498
Illegal,Pansear,Gluttony,Blaze,,50,53,48,53,48,64,316
Illegal,Simisear,Gluttony,Blaze,,75,98,63,98,63,101,498
Illegal,Panpour,Gluttony,Torrent,,50,53,48,53,48,64,316
Illegal,Simipour,Gluttony,Torrent,,75,98,63,98,63,101,498
LC,Munna,Forewarn,Synchronize,Telepathy,76,25,45,67,55,24,292
(PU),Musharna,Forewarn,Synchronize,Telepathy,116,55,85,107,95,29,487
LC,Pidove,Big Pecks,Super Luck,Rivalry,50,55,50,36,30,43,264
NFE,Tranquill,Big Pecks,Super Luck,Rivalry,62,77,62,50,42,65,358
(PU),Unfezant,Big Pecks,Super Luck,Rivalry,80,115,80,65,55,93,488
Illegal,Blitzle,Lightning Rod,Motor Drive,Sap Sipper,45,60,32,50,32,76,295
Illegal,Zebstrika,Lightning Rod,Motor Drive,Sap Sipper,75,100,63,80,63,116,497
LC,Roggenrola,Sturdy,Weak Armor,Sand Force,55,75,85,25,25,15,280
NFE,Boldore,Sturdy,Weak Armor,Sand Force,70,105,105,50,40,20,390
PU,Gigalith,Sturdy,Sand Stream,Sand Force,85,135,130,60,80,25,515
NFE,Woobat,Unaware,Klutz,Simple,65,45,43,55,43,72,323
(PU),Swoobat,Unaware,Klutz,Simple,67,57,55,77,55,114,425
LC,Drilbur,Sand Rush,Sand Force,Mold Breaker,60,85,40,30,45,68,328
UU,Excadrill,Sand Rush,Sand Force,Mold Breaker,110,135,60,50,65,88,508
PU,Audino,Healer,Regenerator,Klutz,103,60,86,60,86,50,445
Illegal,Audino-Mega,Healer,,,103,60,126,80,126,50,545
LC,Timburr,Guts,Sheer Force,Iron Fist,75,80,55,25,35,35,305
NFE,Gurdurr,Guts,Sheer Force,Iron Fist,85,105,85,40,50,40,405
UU,Conkeldurr,Guts,Sheer Force,Iron Fist,105,140,95,55,65,45,505
LC,Tympole,Swift Swim,Hydration,Water Absorb,50,50,40,50,40,64,294
NFE,Palpitoad,Swift Swim,Hydration,Water Absorb,75,65,55,65,55,69,384
RU,Seismitoad,Swift Swim,Poison Touch,Water Absorb,105,95,75,85,75,74,509
(PU),Throh,Guts,Inner Focus,Mold Breaker,120,100,85,30,85,45,465
(PU),Sawk,Sturdy,Inner Focus,Mold Breaker,75,125,75,30,75,85,465
Illegal,Sewaddle,Swarm,Chlorophyll,Overcoat,45,53,70,40,60,42,310
Illegal,Swadloon,Leaf Guard,Chlorophyll,Overcoat,55,63,90,50,80,42,380
Illegal,Leavanny,Swarm,Chlorophyll,Overcoat,75,103,80,70,80,92,500
LC,Venipede,Poison Point,Swarm,Speed Boost,30,45,59,30,39,57,260
NFE,Whirlipede,Poison Point,Swarm,Speed Boost,40,55,99,40,79,47,360
RUBL,Scolipede,Poison Point,Swarm,Speed Boost,60,100,89,55,69,112,485
LC,Cottonee,Prankster,Infiltrator,Chlorophyll,40,27,60,37,50,66,280
PU,Whimsicott,Prankster,Infiltrator,Chlorophyll,60,67,85,77,75,116,480
LC,Petilil,Chlorophyll,Own Tempo,Leaf Guard,45,35,50,70,50,30,280
